,Open,Close,High,Low
843,16567,16566,16567,16566
844,16566,16568,16568,16566
845,16568,16569,16569,16568
846,16569,16570,16570,16569
847,16570,16571,16571,16570
848,16571,16569,16571,16569
849,16569,16568,16569,16568
850,16568,16567,16568,16567
851,16567,16566,16567,16566
852,16566,16568,16568,16566
853,16568,16569,16569,16568
854,16569,16570,16570,16569
855,16570,16571,16571,16570
856,16571,16572,16572,16571
857,16572,16573,16573,16572
858,16573,16574,16574,16573
859,16574,16575,16575,16574
860,16575,16576,16576,16575
861,16576,16577,16577,16576
862,16577,16575,16577,16575
863,16575,16577,16577,16575
864,16577,16578,16578,16577
865,16578,16579,16579,16578
866,16579,16580,16580,16579
867,16580,16581,16581,16580
868,16581,16579,16581,16579
869,16579,16581,16581,16579
870,16581,16582,16582,16581
871,16582,16583,16583,16582
872,16583,16584,16584,16583
873,16584,16582,16584,16582
874,16582,16581,16582,16581
875,16581,16580,16581,16580
876,16580,16579,16580,16579
877,16579,16578,16579,16578
878,16578,16577,16578,16577
879,16577,16576,16577,16576
880,16576,16575,16576,16575
881,16575,16574,16575,16574
882,16574,16573,16574,16573
883,16573,16572,16573,16572
884,16572,16571,16572,16571
885,16571,16570,16571,16570
886,16570,16569,16570,16569
887,16569,16568,16569,16568
888,16568,16567,16568,16567
889,16567,16566,16567,16566
890,16566,16565,16566,16565
891,16565,16564,16565,16564
892,16564,16563,16564,16563
893,16563,16565,16565,16563
894,16565,16563,16565,16563
895,16563,16562,16563,16562
896,16562,16561,16562,16561
897,16561,16560,16561,16560
898,16560,16559,16560,16559
899,16559,16558,16559,16558
900,16558,16557,16558,16557
901,16557,16556,16557,16556
902,16556,16555,16556,16555
903,16555,16554,16555,16554
904,16554,16553,16554,16553
905,16553,16552,16553,16552
906,16552,16551,16552,16551
907,16551,16550,16551,16550
908,16550,16549,16550,16549
909,16549,16551,16551,16549
910,16551,16552,16552,16551
911,16552,16553,16553,16552
912,16553,16554,16554,16553
913,16554,16555,16555,16554
914,16555,16553,16555,16553
915,16553,16552,16553,16552
916,16552,16551,16552,16551
917,16551,16550,16551,16550
918,16550,16549,16550,16549
919,16549,16548,16549,16548
920,16548,16547,16548,16547
921,16547,16549,16549,16547
922,16549,16550,16550,16549
923,16550,16551,16551,16550
924,16551,16552,16552,16551
925,16552,16550,16552,16550
926,16550,16549,16550,16549
927,16549,16548,16549,16548
928,16548,16547,16548,16547
929,16547,16546,16547,16546
930,16546,16545,16546,16545
931,16545,16544,16545,16544
932,16544,16546,16546,16544
933,16546,16547,16547,16546
934,16547,16548,16548,16547
935,16548,16549,16549,16548
936,16549,16550,16550,16549
937,16550,16548,16550,16548
938,16548,16547,16548,16547
939,16547,16546,16547,16546
940,16546,16545,16546,16545
941,16545,16544,16545,16544
942,16544,16543,16544,16543
943,16543,16542,16543,16542
944,16542,16541,16542,16541
945,16541,16540,16541,16540
946,16540,16539,16540,16539
947,16539,16538,16539,16538
948,16538,16537,16538,16537
949,16537,16536,16537,16536
950,16536,16535,16536,16535
951,16535,16534,16535,16534
952,16534,16533,16534,16533
953,16533,16532,16533,16532
954,16532,16531,16532,16531
955,16531,16530,16531,16530
956,16530,16529,16530,16529
957,16529,16528,16529,16528
958,16528,16527,16528,16527
959,16527,16526,16527,16526
960,16526,16525,16526,16525
961,16525,16524,16525,16524
962,16524,16523,16524,16523
963,16523,16522,16523,16522
964,16522,16521,16522,16521
965,16521,16520,16521,16520
966,16520,16519,16520,16519
967,16519,16521,16521,16519
968,16521,16522,16522,16521
969,16522,16523,16523,16522
970,16523,16524,16524,16523
971,16524,16525,16525,16524
972,16525,16526,16526,16525
973,16526,16527,16527,16526
974,16527,16528,16528,16527
975,16528,16529,16529,16528
976,16529,16527,16529,16527
977,16527,16526,16527,16526
978,16526,16525,16526,16525
979,16525,16524,16525,16524
980,16524,16523,16524,16523
981,16523,16522,16523,16522
982,16522,16521,16522,16521
983,16521,16520,16521,16520
984,16520,16519,16520,16519
985,16519,16518,16519,16518
986,16518,16517,16518,16517
987,16517,16516,16517,16516
988,16516,16515,16516,16515
989,16515,16514,16515,16514
990,16514,16516,16516,16514
991,16516,16517,16517,16516
992,16517,16518,16518,16517
993,16518,16519,16519,16518
994,16519,16520,16520,16519
995,16520,16518,16520,16518
